SpecimenID,PopulationCode,UTMN,UTMW,Elevation,Lat,Long
ALM16-001,Grand view 2,535609,4861415,2285,43.904982,-110.556561
ALM16-002,Surprise fall down,520001,4841263,2105,43.724128,-110.751678
ALM16-003,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-004,Lozier hill meadow (lozier hill east),538775,4856609,2091,43.861552,-110.517486
ALM16-005,Buffalo fork,549358,4855639,2132,43.852187,-110.385888
ALM16-006,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-007,Lozier hill meadow (lozier hill east),538775,4856609,2091,43.861552,-110.517486
ALM16-008,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-009,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-010,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-011,Mt. Moran turnout,528887,4850207,2104,43.804364,-110.640875
ALM16-012,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-013,Lupine Meadow,521129,4843032,2063,43.740024,-110.737604
ALM16-014,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-015,Surprise fall down,520001,4841263,2105,43.724128,-110.751678
ALM16-016,Taggart Lake trailhead,521361,4837657,2006,43.691622,-110.734936
ALM16-017,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-018,Mt. Moran turnout,528887,4850207,2104,43.804364,-110.640875
ALM16-019,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-020,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-021,Cygnet Pond,530146,4861081,2086,43.902218,-110.624609
ALM16-022,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-023,Taggart Lake trailhead,521361,4837657,2006,43.691622,-110.734936
ALM16-024,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-025,AMK road,529077,4864934,2094,43.936951,-110.63771
ALM16-026,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-027,Cygnet Pond,530146,4861081,2086,43.902218,-110.624609
ALM16-028,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-029,Mt. Moran turnout,528887,4850207,2104,43.804364,-110.640875
ALM16-030,Two Ocean Road 2,540030,4860396,2119,43.89558,-110.501585
ALM16-031,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-032,Dump Road,530523,4861790,2090,43.908586,-110.619874
ALM16-033,Hidden Falls Trail,521439,4843954,2080,43.748317,-110.733718
ALM16-034,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-035,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-036,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-037,Grand view 1,535627,4861193,2225,43.902982,-110.556352
ALM16-038,Bear paw lake trail,522079,4849388,2114,43.797224,-110.725545
ALM16-039,Grand view 2,535609,4861415,2285,43.904982,-110.556561
ALM16-040,Dump Road,530523,4861790,2090,43.908586,-110.619874
ALM16-041,Dump Road,530523,4861790,2090,43.908586,-110.619874
ALM16-042,Near Wilderness Rd 3 but not at a real site,,,,,
ALM16-043,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-044,Death canyon Rangers,513571,4834713,2401,43.665297,-110.831674
ALM16-045,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-046,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-047,Grand view 1,535627,4861193,2225,43.902982,-110.556352
ALM16-048,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-049,Lozier hill meadow (lozier hill east),538775,4856609,2091,43.861552,-110.517486
ALM16-050,Lupine Meadow,521129,4843032,2063,43.740024,-110.737604
ALM16-051,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-052,Taggart Lake trailhead,521361,4837657,2006,43.691622,-110.734936
ALM16-053,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-054,Buffalo fork,549358,4855639,2132,43.852187,-110.385888
ALM16-055,Grand view 2,535609,4861415,2285,43.904982,-110.556561
ALM16-056,Taggart Lake trailhead,521361,4837657,2006,43.691622,-110.734936
ALM16-057,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-058,Dump Road,530523,4861790,2090,43.908586,-110.619874
ALM16-059,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-060,Grand view 2,535609,4861415,2285,43.904982,-110.556561
ALM16-061,Two Ocean Road 2,540030,4860396,2119,43.89558,-110.501585
ALM16-062,Surprise 2,520745,4841270,2058,43.72417,-110.742441
ALM16-063,Two Ocean Road 1,540926,4858405,2107,43.877605,-110.490582
ALM16-064,Grand view 2,535609,4861415,2285,43.904982,-110.556561
ALM16-065,Grand view 1,535627,4861193,2225,43.902982,-110.556352
ALM16-066,Grand view 1,535627,4861193,2225,43.902982,-110.556352
ALM16-067,Mt. Moran turnout,528887,4850207,2104,43.804364,-110.640875
ALM16-068,Dump Road,530523,4861790,2090,43.908586,-110.619874
ALM16-069,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-070,Mt. Moran turnout,528887,4850207,2104,43.804364,-110.640875
ALM16-071,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-072,Two Ocean Road 2,540030,4860396,2119,43.89558,-110.501585
ALM16-073,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-074,Taggart Lake trailhead,521361,4837657,2006,43.691622,-110.734936
ALM16-075,Paintbrush canyon trail,521072,4849468,2138,43.797974,-110.738059
ALM16-076,Bear paw lake trail,522079,4849388,2114,43.797224,-110.725545
ALM16-077,Hidden Falls Trail,521439,4843954,2080,43.748317,-110.733718
ALM16-078,,,,,,
ALM16-079,Wilderness Rd 2,543598,4864076,2144,43.92851,-110.456861
ALM16-080,Grand view 1,535627,4861193,2225,43.902982,-110.556352
ALM16-081,Shadow mountain,532852,4838189,2411,43.695992,-110.592318
ALM16-082,Two Ocean Road 1,540926,4858405,2107,43.877605,-110.490582
ALM16-083,Lupine Meadow,521129,4843032,2063,43.740024,-110.737604
ALM16-084,Shadow mountain,532852,4838189,2411,43.695992,-110.592318
ALM16-085,Wilderness Rd 1,544237,4864715,2147,43.934225,-110.448847
ALM16-086,Lupine Meadow,521129,4843032,2063,43.740024,-110.737604
ALM16-087,Grand view 1,535627,4861193,2225,43.902982,-110.556352
ALM16-088,Grand view 2,535609,4861415,2285,43.904982,-110.556561
ALM16-089,Paintbrush canyon trail,521072,4849468,2138,43.797974,-110.738059
ALM16-090,Grand view 1,535627,4861193,2225,43.902982,-110.556352
ALM16-091,Hidden Falls Trail,521439,4843954,2080,43.748317,-110.733718
ALM16-092,Lupine Meadow,521129,4843032,2063,43.740024,-110.737604
ALM16-093,Sound of music,533257,4839554,2491,43.708264,-110.587208
ALM16-094,,,,,,
ALM16-095,Paintbrush canyon trail,521072,4849468,2138,43.797974,-110.738059
ALM16-096,Wilderness Rd 1,544237,4864715,2147,43.934225,-110.448847
ALM16-097,Sound of music,533257,4839554,2491,43.708264,-110.587208
ALM16-098,Taggart Lake trailhead,521361,4837657,2006,43.691622,-110.734936
ALM16-099,Bear paw lake trail,522079,4849388,2114,43.797224,-110.725545
ALM16-100,North Jenny lake,522388,4848251,2107,43.786978,-110.721751
ALM16-101,North Jenny lake,522388,4848251,2107,43.786978,-110.721751
ALM16-102,Wilderness Rd 2,543598,4864076,2144,43.92851,-110.456861
ALM16-103,Two Ocean Road 1,540926,4858405,2107,43.877605,-110.490582
ALM16-104,Timbered Island,522115,4842890,2062,43.738717,-110.725365
ALM16-105,Hidden Falls Trail,521439,4843954,2080,43.748317,-110.733718
ALM16-106,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-107,Wilderness Rd 1,544237,4864715,2147,43.934225,-110.448847
ALM16-108,Buffalo fork,549358,4855639,2132,43.852187,-110.385888
ALM16-109,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-110,Hidden Falls Trail,521439,4843954,2080,43.748317,-110.733718
ALM16-111,Lozier hill meadow (lozier hill east),538775,4856609,2091,43.861552,-110.517486
ALM16-112,Grand view 2,535609,4861415,2285,43.904982,-110.556561
ALM16-113,Two Ocean Road 1,540926,4858405,2107,43.877605,-110.490582
ALM16-114,Hidden Falls Trail,521439,4843954,2080,43.748317,-110.733718
ALM16-115,Surprise 2,520745,4841270,2058,43.72417,-110.742441
ALM16-116,Wilderness Rd 1,544237,4864715,2147,43.934225,-110.448847
ALM16-117,Timbered Island,522115,4842890,2062,43.738717,-110.725365
ALM16-118,Wilderness Rd 2,543598,4864076,2144,43.92851,-110.456861
ALM16-119,Surprise fall down,520001,4841263,2105,43.724128,-110.751678
ALM16-120,Hidden Falls Trail,521439,4843954,2080,43.748317,-110.733718
ALM16-121,Wilderness Rd 1,544237,4864715,2147,43.934225,-110.448847
ALM16-122,Lupine Meadow,521129,4843032,2063,43.740024,-110.737604
ALM16-123,Wilderness Rd 2,543598,4864076,2144,43.92851,-110.456861
ALM16-124,Wilderness Rd 2,543598,4864076,2144,43.92851,-110.456861
ALM16-125,Wilderness Rd 3,542182,4861987,2125,43.909785,-110.474666
ALM16-126,Wilderness Rd 2,543598,4864076,2144,43.92851,-110.456861
ALM16-127,Two Ocean Road 1,540926,4858405,2107,43.877605,-110.490582
ALM16-128,Lozier hill meadow (lozier hill east),538775,4856609,2091,43.861552,-110.517486
ALM16-129,Wilderness Rd 2,543598,4864076,2144,43.92851,-110.456861
ALM16-130,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-131,North Jenny lake,522388,4848251,2107,43.786978,-110.721751
ALM16-132,North Jenny lake,522388,4848251,2107,43.786978,-110.721751
ALM16-133,Surprise 2,520745,4841270,2058,43.72417,-110.742441
ALM16-134,Lozier Road,537747,4856522,2043,43.860822,-110.530284
ALM16-135,Sound of music,533257,4839554,2491,43.708264,-110.587208
ALM16-136,Surprise 1,520818,4841498,2123,43.726221,-110.741526
ALM16-137,Wilderness Rd 1,544237,4864715,2147,43.934225,-110.448847
ALM16-138,Shadow mountain,532852,4838189,2411,43.695992,-110.592318
ALM16-139,Surprise 1,520818,4841498,2123,43.726221,-110.741526
ALM16-140,Surprise 1,520818,4841498,2123,43.726221,-110.741526
ALM16-141,Wilderness Rd 1,544237,4864715,2147,43.934225,-110.448847
ALM16-142,Two Ocean Road 2,540030,4860396,2119,43.89558,-110.501585
ALM16-143,Two Ocean Road 2,540030,4860396,2119,43.89558,-110.501585
ALM16-144,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-145,Sound of music,533257,4839554,2491,43.708264,-110.587208
ALM16-146,Surprise fall down,520001,4841263,2105,43.724128,-110.751678
ALM16-147,Sound of music,533257,4839554,2491,43.708264,-110.587208
ALM16-148,Cygnet Pond,530146,4861081,2086,43.902218,-110.624609
ALM16-149,Lupine Meadow,521129,4843032,2063,43.740024,-110.737604
ALM16-150,North Jenny lake,522388,4848251,2107,43.786978,-110.721751
ALM16-151,String lake parking,521728,4848059,2102,43.785269,-110.729962
ALM16-152,Shadow mountain,532852,4838189,2411,43.695992,-110.592318
ALM16-153,Surprise fall down,520001,4841263,2105,43.724128,-110.751678
ALM16-154,,,,,,
ALM16-155,AMK Ranch,528713,4865045,2080,43.937965,-110.64224
ALM16-156,Paintbrush canyon trail,521072,4849468,2138,43.797974,-110.738059
ALM16-157,Dump Road,530523,4861790,2090,43.908586,-110.619874
ALM16-158,Bear paw lake trail,522079,4849388,2114,43.797224,-110.725545
ALM16-159,Surprise 2,520745,4841270,2058,43.72417,-110.742441
ALM16-160,Surprise fall down,520001,4841263,2105,43.724128,-110.751678
ALM16-161,Surprise 2,520745,4841270,2058,43.72417,-110.742441
ALM16-162,Lozier hill meadow (lozier hill east),538775,4856609,2091,43.861552,-110.517486
ALM16-163,Lozier hill meadow (lozier hill east),538775,4856609,2091,43.861552,-110.517486
ALM16-164,AMK Ranch,528713,4865045,2080,43.937965,-110.64224
ALM16-165,Bear paw lake trail,522079,4849388,2114,43.797224,-110.725545
ALM16-166,Cygnet Pond,530146,4861081,2086,43.902218,-110.624609
ALM16-167,String lake parking,521728,4848059,2102,43.785269,-110.729962
ALM16-168,String lake parking,521728,4848059,2102,43.785269,-110.729962
ALM16-169,AMK Ranch,528713,4865045,2080,43.937965,-110.64224
ALM16-170,Cygnet Pond,530146,4861081,2086,43.902218,-110.624609
ALM16-171,String lake parking,521728,4848059,2102,43.785269,-110.729962
ALM16-172,Surprise 1,520818,4841498,2123,43.726221,-110.741526
ALM16-173,AMK Ranch,528713,4865045,2080,43.937965,-110.64224
ALM16-174,Shadow mountain,532852,4838189,2411,43.695992,-110.592318
ALM16-175,Surprise 1,520818,4841498,2123,43.726221,-110.741526
ALM16-176,AMK Ranch,528713,4865045,2080,43.937965,-110.64224
ALM16-177,Paintbrush canyon trail,521072,4849468,2138,43.797974,-110.738059
ALM16-178,Two Ocean Road 2,540030,4860396,2119,43.89558,-110.501585
ALM16-179,Surprise 1,520818,4841498,2123,43.726221,-110.741526
ALM16-180,Timbered Island,522115,4842890,2062,43.738717,-110.725365
ALM16-181,Surprise 2,520745,4841270,2058,43.72417,-110.742441
ALM16-182,AMK Ranch,528713,4865045,2080,43.937965,-110.64224
ALM16-183,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-184,Surprise 2,520745,4841270,2058,43.72417,-110.742441
ALM16-185,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-186,Paintbrush canyon trail,521072,4849468,2138,43.797974,-110.738059
ALM16-187,,,,,,
ALM16-188,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-189,Bear paw lake trail,522079,4849388,2114,43.797224,-110.725545
ALM16-190,Dump Road,530523,4861790,2090,43.908586,-110.619874
ALM16-191,Two Ocean Road 2,540030,4860396,2119,43.89558,-110.501585
ALM16-192,North Jenny lake,522388,4848251,2107,43.786978,-110.721751
ALM16-193,Surprise fall down,520001,4841263,2105,43.724128,-110.751678
ALM16-194,Wilderness Rd 3,542182,4861987,2125,43.909785,-110.474666
ALM16-195,Sound of music,533257,4839554,2491,43.708264,-110.587208
ALM16-196,Timbered Island,522115,4842890,2062,43.738717,-110.725365
ALM16-197,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-198,Sound of music,533257,4839554,2491,43.708264,-110.587208
ALM16-199,Surprise 1,520818,4841498,2123,43.726221,-110.741526
ALM16-200,,,,,,
ALM16-201,,,,,,
ALM16-202,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-203,Cygnet Pond,530146,4861081,2086,43.902218,-110.624609
ALM16-204,Mt. Moran turnout,528887,4850207,2104,43.804364,-110.640875
ALM16-205,AMK Ranch,528713,4865045,2080,43.937965,-110.64224
ALM16-206,Bear paw lake trail,522079,4849388,2114,43.797224,-110.725545
ALM16-207,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-208,Mt. Moran turnout,528887,4850207,2104,43.804364,-110.640875
ALM16-209,Wilderness Rd 3,542182,4861987,2125,43.909785,-110.474666
ALM16-210,Bear paw lake intersection,521838,4852775,2110,43.827727,-110.728402
ALM16-211,North Jenny lake,522388,4848251,2107,43.786978,-110.721751
ALM16-212,String lake parking,521728,4848059,2102,43.785269,-110.729962
ALM16-213,Pilgrim Creek,533718,4862533,2117,43.915136,-110.580039
ALM16-214,,,,,,
ALM16-215,Death canyon Rangers,513571,4834713,2401,43.665297,-110.831674
ALM16-216,,,,,,
ALM16-217,,,,,,
ALM16-218,,,,,,
ALM16-219,,,,,,
ALM16-220,Death canyon phelps lake,515719,4833590,2068,43.655143,-110.805065
ALM16-221,,,,,,
ALM16-222,Death canyon phelps lake,515719,4833590,2068,43.655143,-110.805065
ALM16-223,,,,,,
ALM16-224,Death canyon Rangers,513571,4834713,2401,43.665297,-110.831674
ALM16-225,Death canyon Rangers,513571,4834713,2401,43.665297,-110.831674
ALM16-226,"Death Canyon. UTM 514946, 4833685 - on death canyon trail, not in designated meadow",514946,4833685,,43.656015,-110.814648
ALM16-227,Death canyon Rangers,513571,4834713,2401,43.665297,-110.831674
ALM16-228,,,,,,
ALM16-229,Death canyon phelps lake,515719,4833590,2068,43.655143,-110.805065
ALM16-230,Death canyon phelps lake,515719,4833590,2068,43.655143,-110.805065
ALM16-231,,,,,,
ALM16-232,,,,,,
ALM16-233,,,,,,
ALM16-234,,,,,,
ALM16-235,,,,,,
ALM16-236,,,,,,
ALM16-237,Death canyon Rangers,513571,4834713,2401,43.665297,-110.831674
ALM16-238,Death canyon Rangers,513571,4834713,2401,43.665297,-110.831674
ALM16-239,"Death Canyon. UTM 0516038, 4833635 - on death canyon trail, not in a designated meadow",516038,4833635,,43.655542,-110.801107
ALM16-240,Death canyon phelps lake,515719,4833590,2068,43.655143,-110.805065
