SampleID,SiteID,Long,Lat
ALM16-001,Grand view 2,-110.556561,43.904982
ALM16-002,Surprise fall down,-110.751678,43.724128
ALM16-003,AMK Road,-110.63771,43.936951
ALM16-004,Lozier hill meadow (lozier hill east),-110.517486,43.861552
ALM16-005,Buffalo fork,-110.385888,43.852187
ALM16-006,Aimees Meadow,-110.556561,43.904982
ALM16-007,Lozier hill meadow (lozier hill east),-110.517486,43.861552
ALM16-008,Grand view parking,-110.562431,43.897657
ALM16-009,Climbers ranch,-110.732203,43.703465
ALM16-010,Climbers ranch,-110.732203,43.703465
ALM16-011,Mt. Moran turnout,-110.640875,43.804364
ALM16-012,Aimees Meadow,-110.556561,43.904982
ALM16-013,Lupine Meadow,-110.737604,43.740024
ALM16-014,Grand view parking,-110.562431,43.897657
ALM16-015,Surprise fall down,-110.751678,43.724128
ALM16-016,Taggart Lake trailhead,-110.734936,43.691622
ALM16-017,AMK Road,-110.63771,43.936951
ALM16-018,Mt. Moran turnout,-110.640875,43.804364
ALM16-019,Climbers ranch,-110.732203,43.703465
ALM16-020,Climbers ranch,-110.732203,43.703465
ALM16-021,Cygnet Pond,-110.624609,43.902218
ALM16-022,AMK Road,-110.63771,43.936951
ALM16-023,Taggart Lake trailhead,-110.734936,43.691622
ALM16-024,Aimees Meadow,-110.556561,43.904982
ALM16-025,AMK road,-110.63771,43.936951
ALM16-026,Grand view parking,-110.562431,43.897657
ALM16-027,Cygnet Pond,-110.624609,43.902218
ALM16-028,Climbers ranch,-110.732203,43.703465
ALM16-029,Mt. Moran turnout,-110.640875,43.804364
ALM16-030,Two Ocean Road 2,-110.501585,43.89558
ALM16-031,Aimees Meadow,-110.556561,43.904982
ALM16-032,Dump Road,-110.619874,43.908586
ALM16-033,Hidden Falls Trail,-110.733718,43.748317
ALM16-034,AMK Road,-110.63771,43.936951
ALM16-035,Grand view parking,-110.562431,43.897657
ALM16-036,AMK Road,-110.63771,43.936951
ALM16-038,Bear paw lake trail,-110.725545,43.797224
ALM16-039,Grand view 2,-110.556561,43.904982
ALM16-040,Dump Road,-110.619874,43.908586
ALM16-041,Dump Road,-110.619874,43.908586
ALM16-042,Near Wilderness Rd 3 but not at a real site,0,0
ALM16-043,Aimees Meadow,-110.556561,43.904982
ALM16-044,Death canyon Rangers,-110.831674,43.665297
ALM16-045,Aimees Meadow,-110.556561,43.904982
ALM16-046,Grand view parking,-110.562431,43.897657
ALM16-047,Grand view 1,-110.556352,43.902982
ALM16-048,Pilgrim Creek,-110.580039,43.915136
ALM16-049,Lozier hill meadow (lozier hill east),-110.517486,43.861552
ALM16-050,Lupine Meadow,-110.737604,43.740024
ALM16-051,Aimees Meadow,-110.556561,43.904982
ALM16-052,Taggart Lake trailhead,-110.734936,43.691622
ALM16-053,Climbers ranch,-110.732203,43.703465
ALM16-054,Buffalo fork,-110.385888,43.852187
ALM16-055,Grand view 2,-110.556561,43.904982
ALM16-056,Taggart Lake trailhead,-110.734936,43.691622
ALM16-057,Grand view parking,-110.562431,43.897657
ALM16-059,Grand view parking,-110.562431,43.897657
ALM16-060,Grand view 2,-110.556561,43.904982
ALM16-061,Two Ocean Road 2,-110.501585,43.89558
ALM16-062,Surprise 2,-110.742441,43.72417
ALM16-064,Grand view 2,-110.556561,43.904982
ALM16-065,Grand view 1,-110.556352,43.902982
ALM16-066,Grand view 1,-110.556352,43.902982
ALM16-067,Mt. Moran turnout,-110.640875,43.804364
ALM16-068,Dump Road,-110.619874,43.908586
ALM16-069,Climbers ranch,-110.732203,43.703465
ALM16-070,Mt. Moran turnout,-110.640875,43.804364
ALM16-071,AMK Road,-110.63771,43.936951
ALM16-072,Two Ocean Road 2,-110.501585,43.89558
ALM16-073,Pilgrim Creek,-110.580039,43.915136
ALM16-074,Taggart Lake trailhead,-110.734936,43.691622
ALM16-075,Paintbrush canyon trail,-110.738059,43.797974
ALM16-076,Bear paw lake trail,-110.725545,43.797224
ALM16-077,Hidden Falls Trail,-110.733718,43.748317
ALM16-078,Pilgrim Creek,-110.580039,43.915136
ALM16-079,Wilderness Rd 2,-110.456861,43.92851
ALM16-080,Grand view 1,-110.556352,43.902982
ALM16-081,Shadow mountain,-110.592318,43.695992
ALM16-082,Two Ocean Road 1,-110.490582,43.877605
ALM16-083,Lupine Meadow,-110.737604,43.740024
ALM16-084,Shadow mountain,-110.592318,43.695992
ALM16-085,Wilderness Rd 1,-110.448847,43.934225
ALM16-086,Lupine Meadow,-110.737604,43.740024
ALM16-087,Grand view 1,-110.556352,43.902982
ALM16-088,Grand view 2,-110.556561,43.904982
ALM16-089,Paintbrush canyon trail,-110.738059,43.797974
ALM16-090,Grand view 1,-110.556352,43.902982
ALM16-091,Hidden Falls Trail,-110.733718,43.748317
ALM16-092,Lupine Meadow,-110.737604,43.740024
ALM16-093,Sound of music,-110.587208,43.708264
ALM16-094,Pilgrim Creek,-110.580039,43.915136
ALM16-095,Paintbrush canyon trail,-110.738059,43.797974
ALM16-096,Wilderness Rd 1,-110.448847,43.934225
ALM16-097,Sound of music,-110.587208,43.708264
ALM16-098,Taggart Lake trailhead,-110.734936,43.691622
ALM16-099,Bear paw lake trail,-110.725545,43.797224
ALM16-100,North Jenny lake,-110.721751,43.786978
ALM16-101,North Jenny lake,-110.721751,43.786978
ALM16-102,Wilderness Rd 2,-110.456861,43.92851
ALM16-103,Two Ocean Road 1,-110.490582,43.877605
ALM16-104,Timbered Island,-110.725365,43.738717
ALM16-105,Hidden Falls Trail,-110.733718,43.748317
ALM16-107,Wilderness Rd 1,-110.448847,43.934225
ALM16-108,Buffalo fork,-110.385888,43.852187
ALM16-110,Hidden Falls Trail,-110.733718,43.748317
ALM16-111,Lozier hill meadow (lozier hill east),-110.517486,43.861552
ALM16-112,Grand view 2,-110.556561,43.904982
ALM16-114,Hidden Falls Trail,-110.733718,43.748317
ALM16-115,Surprise 2,-110.742441,43.72417
ALM16-116,Wilderness Rd 1,-110.448847,43.934225
ALM16-117,Timbered Island,-110.725365,43.738717
ALM16-118,Wilderness Rd 2,-110.456861,43.92851
ALM16-119,Surprise fall down,-110.751678,43.724128
ALM16-120,Hidden Falls Trail,-110.733718,43.748317
ALM16-121,Wilderness Rd 1,-110.448847,43.934225
ALM16-122,Lupine Meadow,-110.737604,43.740024
ALM16-123,Wilderness Rd 2,-110.456861,43.92851
ALM16-124,Wilderness Rd 2,-110.456861,43.92851
ALM16-125,Wilderness Rd 3,-110.474666,43.909785
ALM16-126,Wilderness Rd 2,-110.456861,43.92851
ALM16-127,Two Ocean Road 1,-110.490582,43.877605
ALM16-128,Lozier hill meadow (lozier hill east),-110.517486,43.861552
ALM16-129,Wilderness Rd 2,-110.456861,43.92851
ALM16-130,AMK Road,-110.63771,43.936951
ALM16-131,North Jenny lake,-110.721751,43.786978
ALM16-132,North Jenny lake,-110.721751,43.786978
ALM16-133,Surprise 2,-110.742441,43.72417
ALM16-134,Lozier Road,-110.530284,43.860822
ALM16-135,Sound of music,-110.587208,43.708264
ALM16-136,Surprise 1,-110.741526,43.726221
ALM16-137,Wilderness Rd 1,-110.448847,43.934225
ALM16-138,Shadow mountain,-110.592318,43.695992
ALM16-139,Surprise 1,-110.741526,43.726221
ALM16-140,Surprise 1,-110.741526,43.726221
ALM16-141,Wilderness Rd 1,-110.448847,43.934225
ALM16-142,Two Ocean Road 2,-110.501585,43.89558
ALM16-143,Two Ocean Road 2,-110.501585,43.89558
ALM16-144,Pilgrim Creek,-110.580039,43.915136
ALM16-145,Sound of music,-110.587208,43.708264
ALM16-146,Surprise fall down,-110.751678,43.724128
ALM16-147,Sound of music,-110.587208,43.708264
ALM16-148,Cygnet Pond,-110.624609,43.902218
ALM16-149,Lupine Meadow,-110.737604,43.740024
ALM16-150,North Jenny lake,-110.721751,43.786978
ALM16-151,String lake parking,-110.729962,43.785269
ALM16-152,Shadow mountain,-110.592318,43.695992
ALM16-153,Surprise fall down,-110.751678,43.724128
ALM16-155,AMK Ranch,-110.64224,43.937965
ALM16-156,Paintbrush canyon trail,-110.738059,43.797974
ALM16-157,Dump Road,-110.619874,43.908586
ALM16-158,Bear paw lake trail,-110.725545,43.797224
ALM16-159,Surprise 2,-110.742441,43.72417
ALM16-160,Surprise fall down,-110.751678,43.724128
ALM16-161,Surprise 2,-110.742441,43.72417
ALM16-162,Lozier hill meadow (lozier hill east),-110.517486,43.861552
ALM16-163,Lozier hill meadow (lozier hill east),-110.517486,43.861552
ALM16-164,AMK Ranch,-110.64224,43.937965
ALM16-165,Bear paw lake trail,-110.725545,43.797224
ALM16-166,Cygnet Pond,-110.624609,43.902218
ALM16-167,String lake parking,-110.729962,43.785269
ALM16-168,String lake parking,-110.729962,43.785269
ALM16-169,AMK Ranch,-110.64224,43.937965
ALM16-170,Cygnet Pond,-110.624609,43.902218
ALM16-171,String lake parking,-110.729962,43.785269
ALM16-172,Surprise 1,-110.741526,43.726221
ALM16-173,AMK Ranch,-110.64224,43.937965
ALM16-174,Shadow mountain,-110.592318,43.695992
ALM16-175,Surprise 1,-110.741526,43.726221
ALM16-176,AMK Ranch,-110.64224,43.937965
ALM16-177,Paintbrush canyon trail,-110.738059,43.797974
ALM16-178,Two Ocean Road 2,-110.501585,43.89558
ALM16-179,Surprise 1,-110.741526,43.726221
ALM16-180,Timbered Island,-110.725365,43.738717
ALM16-181,Surprise 2,-110.742441,43.72417
ALM16-182,AMK Ranch,-110.64224,43.937965
ALM16-184,Surprise 2,-110.742441,43.72417
ALM16-185,AMK Road,-110.63771,43.936951
ALM16-186,Paintbrush canyon trail,-110.738059,43.797974
ALM16-187,Pilgrim Creek,-110.580039,43.915136
ALM16-189,Bear paw lake trail,-110.725545,43.797224
ALM16-190,Dump Road,-110.619874,43.908586
ALM16-191,Two Ocean Road 2,-110.501585,43.89558
ALM16-192,North Jenny lake,-110.721751,43.786978
ALM16-193,Surprise fall down,-110.751678,43.724128
ALM16-194,Wilderness Rd 3,-110.474666,43.909785
ALM16-195,Sound of music,-110.587208,43.708264
ALM16-196,Timbered Island,-110.725365,43.738717
ALM16-198,Sound of music,-110.587208,43.708264
ALM16-199,Surprise 1,-110.741526,43.726221
ALM16-202,Pilgrim Creek,-110.580039,43.915136
ALM16-203,Cygnet Pond,-110.624609,43.902218
ALM16-204,Mt. Moran turnout,-110.640875,43.804364
ALM16-205,AMK Ranch,-110.64224,43.937965
ALM16-206,Bear paw lake trail,-110.725545,43.797224
ALM16-208,Mt. Moran turnout,-110.640875,43.804364
ALM16-209,Wilderness Rd 3,-110.474666,43.909785
ALM16-210,Bear paw lake intersection,-110.728402,43.827727
ALM16-211,North Jenny lake,-110.721751,43.786978
ALM16-212,String lake parking,-110.729962,43.785269
ALM16-214,Pilgrim Creek,-110.580039,43.915136
ALM16-215,Death canyon Rangers,-110.831674,43.665297
ALM16-216,Pilgrim Creek,-110.580039,43.915136
ALM16-217,Pilgrim Creek,-110.580039,43.915136
ALM16-218,Pilgrim Creek,-110.580039,43.915136
ALM16-220,Death canyon phelps lake,-110.805065,43.655143
ALM16-222,Death canyon phelps lake,-110.805065,43.655143
ALM16-223,Pilgrim Creek,-110.580039,43.915136
ALM16-224,Death canyon Rangers,-110.831674,43.665297
ALM16-225,Death canyon Rangers,-110.831674,43.665297
ALM16-226,"Death Canyon. UTM 514946, 4833685 - on death canyon trail, not in designated meadow",-110.814648,43.656015
ALM16-227,Death canyon Rangers,-110.831674,43.665297
ALM16-229,Death canyon phelps lake,-110.805065,43.655143
ALM16-230,Death canyon phelps lake,-110.805065,43.655143
ALM16-231,Pilgrim Creek,-110.580039,43.915136
ALM16-232,Pilgrim Creek,-110.580039,43.915136
ALM16-237,Death canyon Rangers,-110.831674,43.665297
ALM16-238,Death canyon Rangers,-110.831674,43.665297
ALM16-239,"Death Canyon. UTM 0516038, 4833635 - on death canyon trail, not in a designated meadow",-110.801107,43.655542
ALM16-240,Death canyon phelps lake,-110.805065,43.655143
